 ARRANGER;;;;;
 ARSENAL;;;;;
 ARSENAL II;;;;;
 ARSENIC;;;;;
 ARTEMIS;;;;;
 ARVAK;;;;;
 ARYAN;;;;;
 ASANO;;;;;
 ASBERY; SHAMARI;;;;
 ASBESTOS LADY;;;;;
 ASH; BRANDY;;;;
 ASHEMA [CELESTIAL];;;;;
 ASHER; CARL;;;;
 ASHER; DONNA;;;;
 ASHER; MICHAEL;;;;
 ASHUR;;;;;
 ASKANI;;;;;
 ASMODEUS;;;;;
 ASP II;CLEO;;;;
 ASSAULT;;;;;
 ASTARTE;;;;;
 ASTER; LUCIAN;;;;
 ASTRA;;;;;
 ASTRA II;;;;;
 ASTROLOGER;;;;;
 ASTRONOMER;;;;;
 ASTROVIK; ARNOLD;;;;
 ASTROVIK; NORMA;;;;
 ASYLUM;;;;;
 ASYLUM II;HENRIQUE MANUEL GALLANTE;;;;
 ATALANTA;;;;;
 ATHENA [GREEK GOD];;;;;
 ATKINSON; MAJ. EDMOND;;;;
 ATLAS;;;;;
 ATLAS III;;;;;
 ATOM SMASHER;;;;;
 ATOM SMASHER II;;;;;
 ATOM-SMASHER;;;;;
 ATOR; GENERAL;;;;
 ATTRACTIVE LAD;AUNDRAY;;;;
 ATTUMA;;;;;
 AUGUST PERSONAGE IN JADE;YU-TI;;;;
 AUNTIE FREEZE;;;;;
 AURA;ANN HERD;;;;
 AURIC;;;;;
 AURORA;JEANNE-MARIE BAUBIER;;;;
 AURORA DOPPELGANGER;;;;;
 AURORA ; MUTANT X-VERSE;;;;
 AUSTIN; GEN.;;;;
 AUSTIN; SUSAN;;;;
 AUSTIN; TERRY;;;;
 AUTHIER; POLICE CHIEF;;;;
 AUTHIER; TRACY TRACE;;;;
 AUTHORITY;;;;;
 AUTOLYCUS;;;;;
 AVALANCHE;DOMINIC PETROS;;;;
 AVANDALIA;;;;;
 AVATAR;;;;;
 AVATAR II;PRINCESS ALAISA RUANTHA;;;;
 AVIA;;;;;
 AVIOS;;;;;
 AVIUS;;;;;
 AVRIL; SALLY;;;;
 AVRIL; YVETTE;;;;
 AWESOME ANDROID;;;;;
 AXE;;;;;
 AXIS;;;;;
 AYALA; AWILDA;;;;
 AYALA; FILIPPO;;;;
 AYALA; MRS.;;;;
 AYALA; NESTOR;;;;
 AYESHA;;;;;
 AZAZEL;;;;;
 AZAZEL II;;;;;
 AZIR;;;;;
 AZOPARDI;;;;;
 AZOR;;;;;
 AZRAEL;;;;;
 AZURE;;;;;
 B'ARR;;;;;
 B'GON;;;;;
 B'KOSA; GEN. JONATHAN;;;;
 BAAL;;;;;
 BAAL II;;;;;
 BACILLUS;;;;;
 BADALAMENTE; JESUS;;;;
 BADALINO; LT. MICHAEL;;;;
 BAILEY; GAILYN;;;;
 BAILEY; JOEY;;;;
 BAILEY; SARA GREY;;;;
 BAIRD; DR.;;;;
 BAKER;;;;;
 BAKER; ANNE-MARIE;;;;
 BALABAN;;;;;
 BALDER [ASGARDIAN];;;;;
 BALDWIN; JUSTIN;;;;
 BALDWIN; MADELYNE MADDIE NAYLOR;;;;
 BALE; EMERSON;;;;
 BALLANTINE; DEVON;;;;
 BALLANTINE; KAYLA;;;;
 BALLANTINE; MR.;;;;
 BALLANTINE; MRS.;;;;
 BALOR;;;;;
 BAMBI;;;;;
 BANCROFT; MARTINE;;;;
 BANDIT;;;;;
 BANK; IRVING;;;;
 BANKS; SHARON;;;;
 BANNER; BETTY ROSS TALBOT;;;;
 BANNERJEE; DR.;;;;
 BANNON; LANCE;;;;
 BANSHEE;SEAN CASSIDY;;;;
 BANSHEE 2013;;;;;
 BANSHEE II;;;;;
 BANTAM;;;;;
 BANTOCK; LT. OLIVER;;;;
 BAPTISTE; TANTE MATTIE;;;;
 BARAK;;;;;
 BARBAROSSA; MARIO;;;;
 BARBAROSSA; VINNIE;;;;
 BARBARUS;;;;;
 BARIUM;;;;;
 BARKER;;;;;
 BARKER; MATTHEW T.;;;;
 BARNACLE;;;;;
 BARNETT; MIKE;;;;
 BARON BLOOD;JOHN FALSWORTH;;;;
 BARON BLOOD II;VICTOR STRANGE;;;;
 BARON BRIMSTONE;;;;;
 BARON MACABRE;;;;;
 BARON MORDO;KARL MORDO;;;;
 BARON SAMEDI;;;;;
 BARON STRUCKER;WOLFGANG VON STRUCKER;;;;
 BARON ZEBEK;;;;;
